epoch,loss,lr,val_loss
0,0.0019625581335276365,0.001,0.00031823042081668973
1,0.0002719568437896669,0.001,0.00022816815180703998
2,0.00019711785716935992,0.001,0.0001582195545779541
3,0.00015652926231268793,0.001,0.00013082970690447837
4,0.00012971507385373116,0.001,0.00013576382480096072
5,7.392527186311781e-05,1e-04,7.632400229340419e-05
6,7.147810538299382e-05,1e-04,7.731374353170395e-05
7,6.89073494868353e-05,1e-04,7.108276622602716e-05
8,6.6387903643772e-05,1e-04,6.981211481615901e-05
9,6.459463475039229e-05,1e-04,6.853650120319799e-05
10,6.265741831157357e-05,1e-04,6.381220009643584e-05
11,6.0891921748407185e-05,1e-04,6.334466888802126e-05
12,5.9401310863904655e-05,1e-04,6.215050962055102e-05
13,5.804219108540565e-05,1e-04,6.458059942815453e-05
14,5.654968481394462e-05,1e-04,6.024721369612962e-05
15,5.5465377954533324e-05,1e-04,5.9234964282950386e-05
16,5.439332380774431e-05,1e-04,5.693715138477273e-05
17,5.3003092034487054e-05,1e-04,5.622560274787247e-05
18,5.2051262173336e-05,1e-04,5.587080158875324e-05
19,5.108885306981392e-05,1e-04,5.535931995837018e-05
20,4.55790213891305e-05,1e-05,4.980264202458784e-05
21,4.537206405075267e-05,1e-05,5.014675480197184e-05
22,4.520398215390742e-05,1e-05,4.9647849664324895e-05
23,4.503500531427562e-05,1e-05,5.003050318919122e-05
24,4.4922857341589406e-05,1e-05,4.913572774967179e-05
25,4.474967499845661e-05,1e-05,4.989799708710052e-05
26,4.4609008909901604e-05,1e-05,4.9041176680475473e-05
27,4.443671787157655e-05,1e-05,4.9623016820987687e-05
28,4.4319174776319414e-05,1e-05,4.8685946239857e-05
29,4.4181451812619343e-05,1e-05,4.861855268245563e-05
30,4.406208245200105e-05,1e-05,4.844550130655989e-05
31,4.389902460388839e-05,1e-05,4.820076355827041e-05
32,4.377134973765351e-05,1e-05,4.8615180276101455e-05
33,4.363757398095913e-05,1e-05,4.868803807767108e-05
34,4.348847141955048e-05,1e-05,4.791449100594036e-05
35,4.340842497185804e-05,1e-05,4.826591975870542e-05
36,4.3272033508401364e-05,1e-05,4.8280027840519324e-05
37,4.3154686863999814e-05,1e-05,4.8099373088916764e-05
38,4.304029425838962e-05,1e-05,4.738734060083516e-05
39,4.289770731702447e-05,1e-05,4.706463369075209e-05
40,4.2778250644914806e-05,1e-05,4.721271398011595e-05
41,4.267159238224849e-05,1e-05,4.7500117943855e-05
42,4.253480437910184e-05,1e-05,4.7330991947092116e-05
43,4.243846342433244e-05,1e-05,4.684886880568229e-05
44,4.229371188557707e-05,1e-05,4.6535908040823415e-05
45,4.2173502151854336e-05,1e-05,4.6676472265971825e-05
46,4.2072970245499164e-05,1e-05,4.662775609176606e-05
47,4.196641020826064e-05,1e-05,4.6326957090059295e-05
48,4.182852353551425e-05,1e-05,4.611449912772514e-05
49,4.172914850641973e-05,1e-05,4.59776128991507e-05
50,4.160509706707671e-05,1e-05,4.6425913751591e-05
51,4.148406151216477e-05,1e-05,4.595347854774445e-05
52,4.138041549595073e-05,1e-05,4.568220174405724e-05
53,4.1267365304520354e-05,1e-05,4.598668965627439e-05
54,4.1171606426360086e-05,1e-05,4.575635102810338e-05
55,4.1021499782800674e-05,1e-05,4.506733239395544e-05
56,4.092562448931858e-05,1e-05,4.539139990811236e-05
57,4.0803293813951313e-05,1e-05,4.587029980029911e-05
58,4.069363421876915e-05,1e-05,4.479413837543689e-05
59,4.056017496623099e-05,1e-05,4.4973821786697954e-05
